timestamp,cpu_percent,memory_usage_mb,memory_percent,response_time_ms,status
2026-05-09 07:19:47,0.02,23.46,2.29,22,healthy
2026-05-09 07:19:53,0.03,23.38,2.28,19,healthy
2026-05-09 07:19:59,87.36,725.5,70.85,88,healthy
2026-05-09 07:20:04,85.89,934.2,91.23,122,healthy
2026-05-09 07:20:10,0.03,23.3,2.28,17,healthy
2026-05-09 07:20:16,0.04,23.39,2.28,24,healthy
2026-05-09 07:20:22,0.00,23.38,2.28,20,healthy
2026-05-09 07:20:28,5.28,23.65,2.31,18,healthy
2026-05-09 07:20:33,4.69,23.96,2.34,54,healthy
2026-05-09 07:20:39,0.00,18.86,1.84,20,healthy
2026-05-09 07:20:45,5.04,23.38,2.28,17,healthy
2026-05-09 07:20:50,52.38,264.9,25.87,36,healthy
2026-05-09 07:20:56,0.00,23.21,2.27,15,healthy
2026-05-09 07:21:02,0.03,23.38,2.28,18,healthy
2026-05-09 07:21:07,100.73,1002,97.85,66,healthy
2026-05-09 07:21:13,0.03,23.32,2.28,12,healthy
2026-05-09 07:21:19,0.02,23.4,2.29,14,healthy
2026-05-09 07:21:24,98.68,1024,100.00,266,healthy
2026-05-09 07:21:30,94.65,1024,100.00,147,healthy
2026-05-09 07:21:36,0.02,1023,99.90,44,healthy
2026-05-09 07:21:42,4.16,1024,100.00,19,healthy
2026-05-09 07:21:47,0.02,23.3,2.28,19,healthy
2026-05-09 07:21:53,0.02,23.39,2.28,15,healthy
2026-05-09 07:21:59,97.80,1023,99.90,255,healthy
2026-05-09 07:22:05,0.04,23.3,2.28,21,healthy
2026-05-09 07:22:10,0.02,23.39,2.28,67,healthy
2026-05-09 07:22:16,99.05,1017,99.32,21,unhealthy
2026-05-09 07:22:22,5.07,23.39,2.28,15,healthy
2026-05-09 07:22:28,100.76,680.8,66.48,38,healthy
2026-05-09 07:22:34,0.02,23.32,2.28,15,healthy
2026-05-09 07:22:39,0.02,23.39,2.28,15,healthy
2026-05-09 07:22:45,98.74,1015,99.12,157,healthy
2026-05-09 07:22:51,0.03,23.24,2.27,17,healthy
2026-05-09 07:22:56,0.03,23.31,2.28,56,healthy
2026-05-09 07:23:02,102.00,1024,100.00,187,unhealthy
2026-05-09 07:23:08,0.03,23.3,2.28,17,healthy
2026-05-09 07:23:13,30.93,134.9,13.17,42,healthy
2026-05-09 07:23:19,0.00,23.23,2.27,18,healthy
2026-05-09 07:23:25,4.98,23.38,2.28,15,healthy
2026-05-09 07:23:31,100.76,888.2,86.74,421,healthy
2026-05-09 07:23:36,0.02,23.31,2.28,18,healthy
2026-05-09 07:23:42,0.02,23.4,2.29,16,healthy
2026-05-09 07:23:48,98.13,1024,100.00,15,healthy
2026-05-09 07:23:53,0.02,23.3,2.28,19,healthy
2026-05-09 07:23:59,0.02,23.39,2.28,13,healthy
2026-05-09 07:24:05,96.97,1024,100.00,183,unhealthy
